kaptCode,schul_nm,schul_dstnc
A14383203,서울구남초등학교,143
A14383205,서울구남초등학교,170
A10024751,서울양진초등학교,196
A10026162,서울광남초등학교,72
A14375301,서울양진초등학교,10
A14375303,서울광장초등학교,279
A14380211,서울광장초등학교,300
A14380409,서울광남초등학교,128
A14380414,서울광남초등학교,128
A14380605,서울광장초등학교,185
A14381415,서울광남초등학교,20
A14381504,서울양진초등학교,250
A14381506,서울광남초등학교,96
A14381508,서울양진초등학교,85
A14381510,서울광남초등학교,73
A14381512,서울광남초등학교,1
A14381513,서울양진초등학교,116
A14381516,서울양진초등학교,105
A10022137,서울동자초등학교,276
A10022362,서울신양초등학교,8
A10022641,서울동자초등학교,249
A10024132,서울동자초등학교,359
A10024154,서울동자초등학교,286
A10024965,서울성자초등학교,16
A10026399,서울신양초등학교,280
A10026720,서울자양초등학교,79
A14319001,서울성자초등학교,131
A14319002,서울신양초등학교,299
A14319003,서울성자초등학교,253
A14319005,서울신양초등학교,162
A14319006,서울신양초등학교,10
A14319007,서울동자초등학교,24
A14319008,서울동자초등학교,347
A14319009,서울성자초등학교,255
A14319010,서울신양초등학교,250
A14319011,서울동자초등학교,3
A14319012,서울동자초등학교,168
A14319013,서울신양초등학교,197
A14319015,서울자양초등학교,238
A14319201,서울양남초등학교,283
A14319203,서울신자초등학교,211
A14319204,서울성자초등학교,293
A14319301,서울동자초등학교,146
A14319302,서울신양초등학교,273
A14319303,서울신양초등학교,7
A14319305,서울신양초등학교,243
A14319306,서울신양초등학교,80
A14319307,서울동자초등학교,172
A14319311,서울동자초등학교,148
A14375801,서울동자초등학교,206
A14376501,서울성자초등학교,296
A14377402,서울신양초등학교,132
A14386109,서울동자초등학교,21
A14386110,서울동자초등학교,43
A14386802,서울신자초등학교,209
A14387605,서울양남초등학교,8
A14388204,서울신양초등학교,55
A14388208,서울신양초등학교,184
A10021996,서울장안초등학교,226
A10025404,서울장안초등학교,190
A14313001,서울성수초등학교,90
A10022248,서울장안초등학교,89
A10028012,서울장안초등학교,62
A14383901,서울장안초등학교,0
A10027274,서울용두초등학교,263
A10028080,서울종암초등학교,171
A13007004,서울용두초등학교,281
A13006003,서울종암초등학교,78
A13006101,서울홍파초등학교,122
A13086101,서울종암초등학교,45
A10020757,서울전동초등학교,191
A13002002,서울전동초등학교,0
A13084803,서울배봉초등학교,42
A13084804,서울전동초등학교,39
A13085301,서울전곡초등학교,0
A13085901,서울신답초등학교,182
A10022046,서울전농초등학교,271
A10022258,서울전동초등학교,270
A10023891,서울답십리초등학교,366
A10026779,서울답십리초등학교,152
A10027089,서울답십리초등학교,175
A10028042,서울답십리초등학교,168
A13003002,서울답십리초등학교,398
A13003003,서울답십리초등학교,202
A13003005,서울신답초등학교,100
A13003007,서울답십리초등학교,94
A13003201,서울답십리초등학교,323
A13003202,서울전동초등학교,301
A13003402,서울동답초등학교,64
A13003404,서울배봉초등학교,313
A13003405,서울동답초등학교,41
A13003406,서울동답초등학교,198
A13075402,서울배봉초등학교,272
A13075403,서울전동초등학교,301
A13080201,서울전농초등학교,28
A13080702,서울신답초등학교,111
A13080801,서울동답초등학교,0
A10021037,서울안평초등학교,29
A10021586,서울장평초등학교,274
A10021838,서울안평초등학교,153
A10021855,서울안평초등학교,152
A10022117,서울군자초등학교,240
A10022452,서울장평초등학교,6
A10023253,서울군자초등학교,115
A10024892,서울동답초등학교,195
A10025509,서울안평초등학교,280
A13010001,서울안평초등학교,173
A13010002,서울동답초등학교,395
A13010003,서울배봉초등학교,116
A13010004,서울장평초등학교,133
A13010005,서울장평초등학교,10
A13010006,서울안평초등학교,197
A13078701,서울군자초등학교,85
A13084101,서울안평초등학교,0
A13084701,서울배봉초등학교,379
A13086704,서울홍릉초등학교,172
A10023539,서울청량초등학교,43
A13070101,서울청량초등학교,179
A13087201,서울청량초등학교,272
A10024244,서울휘봉초등학교,1
A10027101,서울휘경초등학교,59
A13009002,서울휘봉초등학교,172
A13009003,서울휘봉초등학교,399
A13009202,서울휘봉초등학교,358
A13009206,서울휘봉초등학교,37
A13078301,서울휘봉초등학교,390
A13087401,서울휘봉초등학교,111
A13087407,서울휘봉초등학교,172
A10024594,서울석계초등학교,348
A13008001,서울이문초등학교,40
A13082704,서울이문초등학교,230
A13082805,서울이문초등학교,64
A13083102,서울청량초등학교,223
A10021891,서울중목초등학교,184
A10023606,서울면동초등학교,349
A10023835,서울면동초등학교,158
A10024366,서울중랑초등학교,252
A10024443,서울중곡초등학교,124
A10024741,서울면동초등학교,292
A10028033,서울중곡초등학교,242
A13120001,서울면동초등학교,167
A13120003,서울중곡초등학교,354
A13120403,서울중곡초등학교,177
A13120701,서울면남초등학교,161
A13120704,서울면남초등학교,0
A13175101,서울중랑초등학교,185
A13175102,서울중랑초등학교,28
A13175103,서울중랑초등학교,9
A13177701,서울중곡초등학교,239
A13177702,서울중곡초등학교,282
A13183405,서울면남초등학교,64
A13183502,서울중곡초등학교,273
A13183504,서울중곡초등학교,182
A13183701,서울면목초등학교,171
A13184208,서울면남초등학교,83
A13184301,서울중랑초등학교,168
A13184401,서울면남초등학교,0
A13184502,서울면남초등학교,113
A13122001,서울중화초등학교,163
A13122104,서울중화초등학교,10
A13185603,서울중화초등학교,7
A13185607,서울중화초등학교,78
A13186305,서울신현초등학교,225
A13186306,서울신현초등학교,28
A13186401,서울중화초등학교,8
A10026046,서울묵동초등학교,70
A13187501,서울묵동초등학교,90
A13187702,서울상봉초등학교,5
A10023285,서울묵현초등학교,346
A10025187,서울원묵초등학교,65
A10025855,서울원묵초등학교,159
A13114002,서울묵현초등학교,12
A13114003,서울묵동초등학교,150
A13114201,서울묵현초등학교,391
A13184609,서울원묵초등학교,0
A13184610,서울원묵초등학교,20
A13184804,서울공릉초등학교,242
A13185501,서울원묵초등학교,213
A13185508,서울원묵초등학교,154
A10020869,서울동원초등학교,34
A10020968,서울동원초등학교,171
A10021794,서울망우초등학교,71
A10023816,서울양원숲초등학교,28
A10023952,서울양원숲초등학교,187
A10024214,서울양원숲초등학교,225
A13123001,서울면북초등학교,221
A13123002,서울동원초등학교,149
A13123003,서울망우초등학교,324
A13123004,서울망우초등학교,176
A13123101,서울망우초등학교,369
A13123102,서울동원초등학교,295
A13176102,서울동원초등학교,347
A10022836,서울새솔초등학교,35
A10025397,서울새솔초등학교,81
A10027297,서울중화초등학교,69
A13113001,서울중화초등학교,261
A13113002,서울신내초등학교,5
A13113003,서울신현초등학교,156
A13113004,서울신현초등학교,171
A13113006,서울중화초등학교,95
A13113007,서울새솔초등학교,120
A13113008,서울새솔초등학교,211
A13176901,서울봉화초등학교,20
A13176902,서울봉화초등학교,84
A13178102,서울신내초등학교,102
A13186502,서울신내초등학교,115
A13186503,서울신내초등학교,28
A13186504,서울신내초등학교,14
A13186708,서울신현초등학교,378
A13186801,서울중화초등학교,221
A13186905,서울신내초등학교,22
A13186907,서울신내초등학교,27
A13187004,서울중화초등학교,8
A13187201,서울봉화초등학교,84
A13187203,서울봉화초등학교,0
A13187302,서울신현초등학교,46
A13187305,서울봉화초등학교,84
A13187306,서울신현초등학교,208
A13187406,서울신내초등학교,29
A10025140,서울정덕초등학교,6
A10027227,서울정덕초등학교,5
A10028001,서울개운초등학교,299
A13606002,서울정덕초등학교,185
A13606003,서울정덕초등학교,199
A13606004,서울돈암초등학교,25
A13606005,서울돈암초등학교,25
A13606102,서울개운초등학교,43
A13606107,서울개운초등학교,234
A13606201,서울정덕초등학교,203
A13679902,서울정덕초등학교,67
A13679903,서울정덕초등학교,90
A13681303,서울개운초등학교,0
A13681304,서울개운초등학교,165
A13603401,서울돈암초등학교,101
A13603501,서울돈암초등학교,119
A13603702,서울정덕초등학교,30
A13672101,서울삼선초등학교,118
A13672102,서울명신초등학교,1
A13604301,서울삼선초등학교,47
A13670801,서울삼선초등학교,10
A13604401,서울삼선초등학교,266
A13607101,서울안암초등학교,81
A13608401,서울동신초등학교,290
A13608601,서울동신초등학교,0
A10023669,서울안암초등학교,162
A13608301,서울동신초등학교,131
A10024056,서울정릉초등학교,387
A10028000,서울정수초등학교,276
A13610001,서울정덕초등학교,363
A13610004,서울정릉초등학교,318
A13610007,서울정릉초등학교,14
A13610102,서울숭덕초등학교,262
A13610103,서울숭덕초등학교,74
A13610107,서울숭덕초등학교,120
A13610201,서울정수초등학교,124
A13610202,서울정수초등학교,141
A13676504,서울정덕초등학교,249
A13676605,서울숭덕초등학교,200
A13676702,서울정릉초등학교,99
A13676704,서울정릉초등학교,301
A13677206,서울숭덕초등학교,258
A13677807,서울정덕초등학교,292
A13684306,서울정수초등학교,0
A13684605,서울숭덕초등학교,205
A13684701,서울정릉초등학교,200
A13685104,서울정수초등학교,61
A10023926,서울숭곡초등학교,296
A10025638,서울숭곡초등학교,266
A13606006,서울길원초등학교,217
A13611004,서울개운초등학교,200
A13611005,서울미아초등학교,169
A13611006,서울길음초등학교,4
A13611007,서울길원초등학교,60
A13611008,서울길원초등학교,0
A13611011,서울숭덕초등학교,266
A13611103,서울미아초등학교,366
A13611201,서울미아초등학교,7
A13611202,서울미아초등학교,57
A13679403,서울길원초등학교,69
A13680701,서울길음초등학교,11
A13671203,서울숭례초등학교,11
A13671204,서울숭례초등학교,123
A13671205,서울일신초등학교,163
A13671206,서울개운초등학교,12
A13671207,서울숭례초등학교,21
A13671208,서울숭례초등학교,392
A13671209,서울일신초등학교,23
A13686302,서울개운초등학교,54
A10021241,서울일신초등학교,170
A10022464,서울숭곡초등학교,236
A10023322,서울숭곡초등학교,216
A13613001,서울숭곡초등학교,236
A13613004,서울숭곡초등학교,177
A13613005,서울숭곡초등학교,360
A13613006,서울일신초등학교,78
A13613007,서울숭인초등학교,0
A13613008,서울숭인초등학교,13
A13613009,서울숭인초등학교,13
A13613011,서울숭곡초등학교,223
A13613201,서울일신초등학교,154
A13612001,서울월곡초등학교,284
A13612002,서울월곡초등학교,9
A10022357,서울석관초등학교,74
A10023569,서울선곡초등학교,78
A10024702,서울장위초등학교,371
A10026571,서울장월초등학교,126
A13614001,서울장월초등학교,13
A13614301,서울장월초등학교,0
A13614302,서울장월초등학교,138
A13615002,서울석계초등학교,325
A13615003,서울석계초등학교,142
A13676101,서울석관초등학교,284
A13676102,서울석관초등학교,284
A10021213,서울화계초등학교,229
A10022183,서울화계초등학교,191
A10023829,서울송중초등학교,166
A10024034,서울수유초등학교,395
A10025241,서울송중초등학교,150
A10026947,서울송중초등학교,267
A14210002,서울길음초등학교,5
A14272303,서울송중초등학교,365
A14272304,서울삼각산초등학교,0
A14272305,서울미양초등학교,36
A14272306,서울송중초등학교,252
A14272307,서울수유초등학교,359
A14272308,서울송천초등학교,64
A14272309,서울송천초등학교,63
A14272313,서울송천초등학교,178
A14272314,서울미양초등학교,220
A14277601,서울삼양초등학교,238
A14280502,서울송천초등학교,120
A14281701,서울송천초등학교,74
A14282301,서울수유초등학교,101
A14206001,서울수송초등학교,353
A14206002,서울번동초등학교,359
A14206003,서울오현초등학교,0
A14206004,서울수송초등학교,22
A14206202,서울번동초등학교,20
A14206302,서울오현초등학교,122
A14206303,서울번동초등학교,129
A14206306,서울오현초등학교,336
