kaptCode,schul_nm,schul_dstnc
A15284906,서울영서초등학교,98
A15285004,서울동구로초등학교,366
A15285503,서울구로초등학교,16
A15285804,서울구로초등학교,371
A15286210,서울미래초등학교,72
A15286602,서울신미림초등학교,250
A15286802,서울구일초등학교,279
A15286805,서울구일초등학교,315
A15286806,서울구일초등학교,337
A15286807,서울구일초등학교,224
A15286809,서울구일초등학교,4
A15288002,서울영서초등학교,111
A15288004,서울영서초등학교,0
A10021933,서울고산초등학교,82
A10023598,서울고척초등학교,33
A10023604,서울고척초등학교,37
A10024846,서울고산초등학교,211
A15208003,서울고척초등학교,158
A15208006,서울덕의초등학교,98
A15208007,서울고산초등학교,356
A15208201,서울덕의초등학교,50
A15208202,서울덕의초등학교,324
A15208204,서울덕의초등학교,381
A15279401,서울덕의초등학교,170
A15279402,서울덕의초등학교,284
A15279403,서울덕의초등학교,15
A15279404,서울덕의초등학교,228
A15282403,서울고척초등학교,239
A15282608,서울고산초등학교,111
A15282810,서울고척초등학교,160
A15283603,서울덕의초등학교,94
A15283702,서울고산초등학교,292
A15283704,서울덕의초등학교,223
A15283706,서울고산초등학교,64
A15283709,서울고산초등학교,165
A15283711,서울고원초등학교,18
A10020664,서울오류초등학교,292
A15209002,서울고원초등학교,161
A15209004,서울개봉초등학교,5
A15209007,서울세곡초등학교,253
A15209206,서울개봉초등학교,209
A15209207,서울개봉초등학교,57
A15209303,서울개명초등학교,0
A15209304,서울개명초등학교,1
A15209305,서울개명초등학교,74
A15275101,서울매봉초등학교,354
A15280303,서울오류초등학교,137
A15280304,서울매봉초등학교,266
A15282105,서울고원초등학교,398
A10022360,서울오류초등학교,213
A15210102,서울오류초등학교,205
A15210104,서울오류초등학교,363
A15210106,서울오류초등학교,44
A15210107,서울오류초등학교,139
A15210207,서울오류남초등학교,11
A15210209,서울오류남초등학교,183
A15210210,서울오류남초등학교,192
A15210211,서울오정초등학교,353
A15210212,서울오류남초등학교,85
A15278201,서울오정초등학교,231
A15278301,서울오류초등학교,139
A15279101,서울온수초등학교,293
A15210001,서울하늘숲초등학교,55
A15213003,서울하늘숲초등학교,68
A15213007,서울하늘숲초등학교,57
A10025386,서울항동초등학교,39
A15380403,서울가산초등학교,351
A10020894,서울문성초등학교,309
A10024179,서울두산초등학교,34
A10024302,서울두산초등학교,209
A10025116,서울두산초등학교,374
A10025946,서울금나래초등학교,37
A10026024,서울금나래초등학교,356
A10026626,서울금나래초등학교,43
A10027188,서울금나래초등학교,55
A15301001,서울두산초등학교,0
A15301105,서울두산초등학교,152
A15370301,서울문성초등학교,7
A15375809,서울안천초등학교,130
A15375810,서울금나래초등학교,306
A15381303,서울두산초등학교,244
A15381402,서울두산초등학교,61
A15381706,서울두산초등학교,263
A15382301,서울문성초등학교,140
A15383308,서울안천초등학교,20
A15383601,서울두산초등학교,220
A15383604,서울두산초등학교,132
A10022788,서울탑동초등학교,200
A10025447,서울시흥초등학교,40
A10026187,서울탑동초등학교,148
A10026792,서울금천초등학교,168
A15303002,서울탑동초등학교,111
A15303003,서울금나래초등학교,319
A15303102,서울금나래초등학교,15
A15303103,서울문백초등학교,332
A15303202,서울탑동초등학교,111
A15303203,서울탑동초등학교,260
A15303205,서울금동초등학교,0
A15303401,서울신흥초등학교,337
A15378501,서울신흥초등학교,10
A15383702,서울신흥초등학교,298
A15383905,서울금나래초등학교,139
A15384101,서울금천초등학교,68
A15384501,서울탑동초등학교,124
A15384603,서울탑동초등학교,334
A15386506,서울문백초등학교,0
A15003002,서울영원초등학교,0
A10025518,서울영중초등학교,174
A10026801,서울영동초등학교,328
A15003701,서울영중초등학교,8
A15003801,서울영동초등학교,185
A15003802,서울영동초등학교,183
A15001004,서울여의도초등학교,61
A15001009,서울여의도초등학교,332
A15001016,서울여의도초등학교,125
A15001019,서울윤중초등학교,83
A15001020,서울여의도초등학교,203
A15076302,서울윤중초등학교,174
A15088208,서울여의도초등학교,374
A15088614,서울윤중초등학교,221
A15088717,서울윤중초등학교,14
A15088802,서울여의도초등학교,0
A15088918,서울여의도초등학교,253
A15089307,서울윤중초등학교,345
A15089411,서울여의도초등학교,256
A15089421,서울여의도초등학교,35
A15089510,서울여의도초등학교,315
A15004101,서울영중초등학교,394
A15080002,서울문래초등학교,208
A15004201,서울문래초등학교,153
A15004202,서울당중초등학교,336
A10021962,서울영중초등학교,339
A10021966,서울영중초등학교,339
A10021967,서울영중초등학교,339
A10024834,서울당중초등학교,259
A15072001,서울당중초등학교,199
A15072002,서울영중초등학교,125
A15080204,서울영중초등학교,128
A15080205,서울영중초등학교,127
A15080402,서울당중초등학교,363
A10026797,서울영동초등학교,286
A10027684,서울영동초등학교,365
A15004403,서울당서초등학교,257
A15004405,서울당서초등학교,314
A15004406,서울당서초등학교,120
A15072201,서울당서초등학교,326
A15080501,서울영동초등학교,284
A15080507,서울당서초등학교,51
A10024789,서울당서초등학교,255
A15004501,서울당서초등학교,180
A15004502,서울당서초등학교,203
A15004503,서울당서초등학교,35
A15004505,서울당서초등학교,18
A15004506,서울당서초등학교,125
A15004507,서울당서초등학교,62
A15081002,서울영동초등학교,136
A15083201,서울영등포초등학교,352
A15083202,서울영등포초등학교,276
A10022428,서울문래초등학교,0
A10027023,서울문래초등학교,265
A15076801,서울문래초등학교,272
A15083404,서울문래초등학교,150
A15083601,서울문래초등학교,127
A15083602,서울문래초등학교,0
A15083603,서울문래초등학교,55
A10026197,서울영문초등학교,214
A15009502,서울영문초등학교,390
A15009503,서울영문초등학교,211
A15009504,서울영문초등학교,340
A15009505,서울영문초등학교,213
A10024925,서울영문초등학교,118
A10027512,서울영문초등학교,92
A15009601,서울영문초등학교,34
A15009602,서울영문초등학교,210
A15009603,서울영문초등학교,340
A15009604,서울영문초등학교,317
A15009605,서울영문초등학교,243
A15009606,서울영문초등학교,111
A15009607,서울영문초등학교,317
A15086201,서울영문초등학교,150
A15086202,서울영문초등학교,152
A15010203,서울영문초등학교,342
A10020758,서울선유초등학교,162
A10021291,서울당중초등학교,223
A15010301,서울당중초등학교,108
A15010302,서울당중초등학교,109
A15010303,서울당중초등학교,312
A15010304,서울당중초등학교,231
A15010305,서울선유초등학교,157
A15010306,서울선유초등학교,8
A15010307,서울선유초등학교,8
A15086601,서울선유초등학교,362
A15086603,서울선유초등학교,114
A15086702,서울선유초등학교,373
A15010501,서울당산초등학교,381
A15010502,서울당산초등학교,157
A10021119,서울대영초등학교,153
A10026182,서울대영초등학교,65
A10027073,서울대방초등학교,212
A15005001,서울영신초등학교,293
A15005002,서울대영초등학교,296
A15005102,서울영신초등학교,215
A15005301,서울도림초등학교,242
A15005302,서울대영초등학교,347
A15005402,서울우신초등학교,358
A15005501,서울대영초등학교,195
A15005602,서울대길초등학교,19
A15005603,서울대길초등학교,125
A15005705,서울영신초등학교,223
A15085404,서울대방초등학교,111
A15086001,서울대길초등학교,0
A15086004,서울대길초등학교,243
A15086006,서울대길초등학교,254
A15086007,서울대길초등학교,8
A15096001,서울영신초등학교,281
A10021177,서울대동초등학교,366
A10021186,서울대동초등학교,223
A10023516,서울영림초등학교,126
A10024725,서울신대림초등학교,151
A10024829,서울도신초등학교,229
A10025122,서울영림초등학교,156
A10026761,서울영림초등학교,16
A10027381,서울신대림초등학교,60
A15007002,서울영림초등학교,162
A15007101,서울도신초등학교,298
A15007201,서울영림초등학교,19
A15081107,서울신영초등학교,354
A15081201,서울신영초등학교,231
A15081602,서울신영초등학교,208
A15081604,서울신영초등학교,96
A15081606,서울신영초등학교,208
A15081802,서울신대림초등학교,242
A15095001,서울신대림초등학교,176
A15095002,서울대동초등학교,200
A10023966,서울영본초등학교,220
A10024524,서울노량진초등학교,150
A15605001,서울영본초등학교,236
A15605002,서울영본초등학교,4
A15605003,서울노량진초등학교,137
A15605103,서울영본초등학교,254
A10021490,서울신상도초등학교,65
A10024365,서울신상도초등학교,46
A10024777,서울신상도초등학교,257
A10025768,서울강남초등학교,178
A10027614,서울영화초등학교,351
A10027633,서울신상도초등학교,251
A15603001,서울신상도초등학교,163
A15603003,서울영본초등학교,129
A15603004,서울강남초등학교,226
A15603007,서울영화초등학교,175
A15603008,서울상현초등학교,261
A15603009,서울신상도초등학교,110
A15603203,서울신상도초등학교,0
A15603204,서울영화초등학교,101
A15603206,서울신상도초등학교,14
A15671801,서울신상도초등학교,352
A15678102,서울봉현초등학교,153
A15678103,서울상현초등학교,8
A15683402,서울상현초등학교,359
A15683601,서울봉현초등학교,172
A15683901,서울상도초등학교,347
A10026873,서울본동초등학교,132
A15605102,서울영본초등학교,12
A15606001,서울본동초등학교,0
A15606003,서울영본초등학교,8
A15606004,서울영본초등학교,167
A15606005,서울본동초등학교,103
A15606007,서울본동초등학교,312
A10025867,서울은로초등학교,1
A15607001,서울은로초등학교,196
A15679103,서울은로초등학교,160
A15679104,서울은로초등학교,194
A15679105,서울흑석초등학교,1
A15679106,서울은로초등학교,297
A15679107,서울흑석초등학교,164
A15679108,서울은로초등학교,321
A15679109,서울은로초등학교,4
A15685702,서울흑석초등학교,275
A15608002,서울동작초등학교,11
A15608003,서울동작초등학교,54
A10021807,서울동작초등학교,113
A10022181,서울남사초등학교,347
A10024642,서울행림초등학교,342
A10024811,서울신남성초등학교,73
A10025013,서울신남성초등학교,133
A10026025,서울행림초등학교,137
A10026299,서울삼일초등학교,14
A10027495,서울남사초등학교,166
A15609001,서울동작초등학교,53
A15609002,서울신남성초등학교,162
A15609005,서울남성초등학교,58
A15609006,서울동작초등학교,223
A15609007,서울삼일초등학교,2
A15609008,서울신남성초등학교,97
A15609301,서울삼일초등학교,283
A15609303,서울신남성초등학교,82
A15609305,서울삼일초등학교,231
A15609501,서울행림초등학교,359
A15609502,서울신남성초등학교,83
A15677204,서울삼일초등학교,23
A15677501,서울남성초등학교,313
A15681501,서울삼일초등학교,23
A15681502,서울삼일초등학교,23
A15681503,서울삼일초등학교,23
A10022384,서울영화초등학교,289
A10023859,서울신길초등학교,294
A10024752,서울영화초등학교,228
A15602001,서울신길초등학교,24
A15602002,서울대림초등학교,198
A15602007,서울신길초등학교,104
A15676512,서울영화초등학교,112
A15681103,서울신길초등학교,375
A15681104,서울영화초등학교,117
A15681105,서울신길초등학교,7
A15681106,서울영화초등학교,355
A15681108,서울영화초등학교,112
A15681110,서울신길초등학교,155
A10024098,서울대림초등학교,129
A10025504,서울보라매초등학교,354
A15601004,서울대림초등학교,377
A15601102,서울보라매초등학교,116
A15601103,서울문창초등학교,314
A15601104,서울보라매초등학교,125
A15601105,서울보라매초등학교,248
A15601201,서울대림초등학교,398
A15601202,서울보라매초등학교,0
A15685206,서울보라매초등학교,286
A15685503,서울보라매초등학교,16
A10020559,서울인헌초등학교,35
A10021647,서울신봉초등학교,307
A10021687,서울인헌초등학교,27
A10021724,서울신봉초등학교,269
A10023372,서울원당초등학교,226
A10023490,서울봉현초등학교,109
A10024638,서울봉천초등학교,0
A10024894,서울관악초등학교,164
A10026710,서울청룡초등학교,304
A15105004,서울당곡초등학교,325
A15105005,서울청룡초등학교,4
A15105006,서울행림초등학교,84
A15105007,서울청룡초등학교,219
A15105008,서울원당초등학교,384
A15105302,서울봉천초등학교,274
A15105303,서울봉현초등학교,319
A15105603,서울봉천초등학교,79
A15106001,서울신봉초등학교,4
A15106901,서울은천초등학교,102
A15176202,서울봉현초등학교,21
A15176602,서울청룡초등학교,5
A15176603,서울청룡초등학교,8
A15178201,서울구암초등학교,87
A15178202,서울은천초등학교,56
A15180701,서울구암초등학교,261
A15180705,서울구암초등학교,43
A15192201,서울구암초등학교,276
A10020921,서울원신초등학교,333
A10022424,서울조원초등학교,101
A10024621,서울신우초등학교,285
A10024634,서울신우초등학교,6
A10024749,서울삼성초등학교,219
A15101101,서울신림초등학교,250
A15101501,서울남부초등학교,375
A15101503,서울난향초등학교,44
A15101504,서울난향초등학교,99
A15101505,서울신우초등학교,25
A15101506,서울신우초등학교,363
A15101507,서울원신초등학교,7
A15101508,서울신성초등학교,386
A15101702,서울난향초등학교,4
A15101802,서울조원초등학교,65
A15101901,서울삼성초등학교,331
A15101903,서울삼성초등학교,0
A15176701,서울신우초등학교,270
A15177101,서울미성초등학교,19
A15178401,서울조원초등학교,8
A15179403,서울원신초등학교,173
A15179701,서울난곡초등학교,1
A15185704,서울미성초등학교,30
A15188101,서울난곡초등학교,3
A15190705,서울미성초등학교,1
A10021899,서울사당초등학교,244
A10025511,서울사당초등학교,210
A15108001,서울사당초등학교,124
A15108003,서울사당초등학교,100
A10020361,서울방배초등학교,253
A10021884,서울서래초등학교,57
A10024857,서울방일초등학교,254
A10026154,서울방배초등학교,324
A10027016,서울방일초등학교,20
A13706001,서울서래초등학교,306
A13706302,서울방현초등학교,29
A13706303,서울방현초등학교,322
A13770801,서울방배초등학교,379
A13771601,서울방일초등학교,12
A13782601,서울서래초등학교,189
A13782602,서울서래초등학교,0
A13782803,서울서래초등학교,264
A13782804,서울서래초등학교,42
A13782902,서울서래초등학교,42
A13783001,서울서래초등학교,98
A13783802,서울방배초등학교,220
A13784102,서울방일초등학교,144
A13785008,서울신중초등학교,283
A13785201,서울방배초등학교,310
A13785203,서울방배초등학교,180
A13785302,서울이수초등학교,277
A13713001,서울양재초등학교,0
A13789201,서울양재초등학교,22
A13789203,서울양재초등학교,26
A13778201,서울우면초등학교,86
A13778202,서울우면초등학교,77
A13778203,서울우면초등학교,179
A13778204,서울우솔초등학교,0
A13778205,서울우면초등학교,122
A13778207,서울우면초등학교,296
A13778208,서울우면초등학교,217
A13778209,서울우솔초등학교,258
A13778211,서울우솔초등학교,313
A13778212,서울우솔초등학교,154
A13778213,서울우면초등학교,164
A13778306,서울우암초등학교,37
A13790001,서울우암초등학교,10
A13790002,서울우암초등학교,99
A13790003,서울우암초등학교,15
A13790004,서울우암초등학교,10
A10020999,서울원촌초등학교,209
A10021612,서울반원초등학교,173
A10022466,서울신동초등학교,212
A10023971,서울원촌초등학교,331
A10024913,서울반원초등학교,192
A10025381,서울반원초등학교,5
A10025418,서울신동초등학교,89
A10026004,서울반원초등학교,256
A10026227,서울반원초등학교,309
A10027439,서울신동초등학교,46
A13703019,서울신동초등학교,241
A13703027,서울원촌초등학교,210
A13779432,서울원촌초등학교,290
A13790612,서울신동초등학교,208
A13790701,서울반원초등학교,373
A13790703,서울신동초등학교,132
A13790707,서울신동초등학교,78
A13790709,서울신동초등학교,221
A13790714,서울신동초등학교,8
A13790716,서울신동초등학교,113
A13790717,서울신동초등학교,58
A13790721,서울반원초등학교,254
A13790722,서울신동초등학교,20
A13790828,서울반원초등학교,54
A13790902,서울반원초등학교,163
A13790910,서울반원초등학교,79
A13790929,서울반원초등학교,9
A10021765,서울서원초등학교,43
A10024254,서울서원초등학교,26
A10024646,서울잠원초등학교,116
A10025550,서울서원초등학교,380
A10026015,서울서원초등학교,3
A10026051,서울서원초등학교,29
A10026342,서울잠원초등학교,225
A13704101,서울서원초등학교,194
A13704104,서울원촌초등학교,0
A13704404,서울서원초등학교,365
A13776301,서울서원초등학교,5
A13776508,서울잠원초등학교,214
A13776509,서울잠원초등학교,0
A13776510,서울잠원초등학교,14
A13780402,서울잠원초등학교,224
A13780403,서울잠원초등학교,154
A10020415,서울서초초등학교,307
A10020455,서울신중초등학교,300
A10020535,서울서일초등학교,393
A10021305,서울서이초등학교,196
A10022209,서울서이초등학교,237
A10022390,서울서이초등학교,378
A10022623,서울서이초등학교,248
A10022656,서울서일초등학교,227
A10023191,서울서일초등학교,58
A10023644,서울신중초등학교,306
A10023688,서울신중초등학교,179
A10023694,서울서초초등학교,24
A10024987,서울서일초등학교,249
A10026972,서울서일초등학교,8
A10027221,서울서이초등학교,82
A13707002,서울서이초등학교,377
A13707009,서울서초초등학교,335
A13707016,서울원명초등학교,253
A13707019,서울신중초등학교,381
A13707203,서울서이초등학교,235
A13770607,서울신중초등학교,89
A13772801,서울서이초등학교,378
A13775102,서울서이초등학교,238
A13785604,서울서초초등학교,27
A13785607,서울서초초등학교,49
A13785705,서울서이초등학교,237
A13786601,서울서일초등학교,72
A13786606,서울서일초등학교,281
A13786704,서울신중초등학교,377
A13786803,서울신중초등학교,108
A13786901,서울신중초등학교,149
A13788002,서울서일초등학교,235
A13788201,서울원명초등학교,10
A13788206,서울원명초등학교,250
A13788208,서울원명초등학교,62
A13792001,서울원명초등학교,0
A10024813,서울역삼초등학교,144
A10024820,서울도성초등학교,250
A13508004,서울도성초등학교,68
A13508005,서울역삼초등학교,17
A13508006,서울도성초등학교,1
A13508009,서울도성초등학교,18
A13508010,서울역삼초등학교,253
A13508013,서울역삼초등학교,88
A13579501,서울도성초등학교,19
A13579503,서울도곡초등학교,233
A13579504,서울도성초등학교,348
A13579506,서울도성초등학교,0
A13591402,서울역삼초등학교,66
A13592601,서울도성초등학교,143
A13592604,서울도성초등학교,203
A13592605,서울도성초등학교,111
A13592706,서울도곡초등학교,282
A10023565,서울포이초등학교,98
A10023996,서울개일초등학교,25
A10024564,서울포이초등학교,53
A10025675,서울개현초등학교,20
A13524004,서울개일초등학교,117
A13524005,서울개일초등학교,301
A13524006,서울구룡초등학교,0
A13524009,서울대진초등학교,14
A13580001,서울개일초등학교,171
A13580002,서울개일초등학교,300
A13580602,서울개일초등학교,132
A13593901,서울대진초등학교,14
A13593908,서울대진초등학교,14
A13594007,서울대진초등학교,14
A13599301,서울양전초등학교,20
A13599303,서울양전초등학교,20
A13599402,서울양전초등학교,98
A10020611,서울청담초등학교,357
A10024186,서울언북초등학교,145
A10024640,서울언북초등학교,56
A10025755,서울봉은초등학교,243
A13510001,서울언북초등학교,74
A13510002,서울언북초등학교,342
A13510006,서울언북초등학교,64
A13510007,서울봉은초등학교,303
A13510201,서울언북초등학교,87
A13510202,서울언북초등학교,327
A13510203,서울언북초등학교,177
A10022130,서울봉은초등학교,390
A10023939,서울언북초등학교,197
A10024819,서울삼릉초등학교,214
A10026350,서울삼릉초등학교,341
A10026934,서울삼릉초등학교,0
A13509001,서울언북초등학교,277
A13509004,서울언북초등학교,181
A13509005,서울언북초등학교,300
A13509006,서울언북초등학교,239
A13509007,서울언북초등학교,203
A13509009,서울봉은초등학교,77
A13509010,서울언북초등학교,318
A13509012,서울언북초등학교,315
A13509013,서울봉은초등학교,348
A13509014,서울봉은초등학교,348
A13509101,서울봉은초등학교,156
A13550701,서울언북초등학교,313
A13570501,서울삼릉초등학교,278
A13570502,서울봉은초등학교,348
A10024799,서울대현초등학교,345
A10024815,서울도곡초등학교,180
A10025646,서울도곡초등학교,157
A10026526,서울대현초등학교,211
A13528004,서울대곡초등학교,0
A13528007,서울대현초등학교,184
A13528008,서울대현초등학교,369
A13528102,서울대도초등학교,51
A13528103,서울대도초등학교,27
A13528105,서울대치초등학교,16
A13583403,서울대현초등학교,383
A13583507,서울대곡초등학교,40
A13583604,서울대치초등학교,0
A13583701,서울대현초등학교,251
A13584101,서울도곡초등학교,394
A10024029,서울신구초등학교,387
A10022476,서울논현초등학교,183
A10023129,서울논현초등학교,216
A10024035,서울학동초등학교,380
A10024457,서울학동초등학교,62
A13501001,서울학동초등학교,192
A13501005,서울학동초등학교,74
A13501008,서울논현초등학교,175
A13583301,서울학동초등학교,148
A13511001,서울신구초등학교,261
A13511003,서울신구초등학교,208
A13511004,서울신구초등학교,145
A13511101,서울압구정초등학교,268
A13589802,서울압구정초등학교,117
A13590602,서울청담초등학교,136
A13519001,서울대왕초등학교,293
A13519002,서울대왕초등학교,101
A13519003,서울대왕초등학교,0
A13519004,서울대왕초등학교,272
A13519006,서울세명초등학교,0
A10027985,서울세명초등학교,113
A10028172,서울자곡초등학교,87
A13519008,서울세명초등학교,62
A13520003,서울자곡초등학교,248
A10023547,서울일원초등학교,0
A10027571,서울일원초등학교,86
A13523003,서울대모초등학교,14
A13523004,서울왕북초등학교,230
A13523005,서울왕북초등학교,15
A13593801,서울대청초등학교,0
A13593802,서울대청초등학교,0
A13594203,서울왕북초등학교,380
A13594402,서울일원초등학교,155
A13594403,서울일원초등학교,110
A13594702,서울대모초등학교,134
A13522003,서울수서초등학교,20
A13522004,서울대모초등학교,333
A13522006,서울수서초등학교,345
A13522007,서울왕북초등학교,15
A13522008,서울수서초등학교,10
A13552001,서울수서초등학교,322
A13588402,서울수서초등학교,106
A13527001,서울언주초등학교,230
A13527002,서울언주초등학교,158
A13527003,서울개일초등학교,388
A13527008,서울언주초등학교,252
A13527010,서울언주초등학교,0
A13527013,서울구룡초등학교,384
A13527017,서울개일초등학교,222
A13527018,서울언주초등학교,199
A13527203,서울대도초등학교,1
A13550403,서울언주초등학교,192
A13550502,서울대도초등학교,223
A13585402,서울개일초등학교,365
A13585403,서울개일초등학교,289
A13585804,서울언주초등학교,256
A13586101,서울언주초등학교,130
A13586102,서울언주초등학교,147
A10023599,서울잠전초등학교,278
A13822001,서울송전초등학교,0
A13822002,서울버들초등학교,0
A13822003,서울잠신초등학교,0
A13822004,서울잠일초등학교,0
A13822301,서울송전초등학교,132
A13822701,서울아주초등학교,12
A13822702,서울아주초등학교,22
A13822902,서울잠전초등학교,312
A13879102,서울신천초등학교,0
A13886701,서울잠전초등학교,170
A10023169,서울잠동초등학교,305
A13824001,서울잠동초등학교,289
A13824002,서울잠동초등학교,105
A13824003,서울잠동초등학교,255
A13824005,서울잠동초등학교,1
A13824006,서울잠실초등학교,1
A13872502,서울잠동초등학교,273
A13872503,서울잠동초등학교,195
A13872504,서울잠동초등학교,1
A10021523,서울토성초등학교,21
A10024358,서울토성초등학교,362
A10024379,서울풍납초등학교,7
A10025467,서울풍납초등학교,16
A10025632,서울토성초등학교,188
A10026804,서울토성초등학교,301
A13804001,서울풍성초등학교,153
A13804002,서울풍성초등학교,269
A13804003,서울풍납초등학교,365
A13804206,서울토성초등학교,153
A13887301,서울풍납초등학교,307
A13887302,서울풍납초등학교,177
A13887403,서울토성초등학교,5
A13887405,서울토성초등학교,9
A13887702,서울토성초등학교,136
A13887901,서울토성초등학교,194
A10020796,서울중대초등학교,110
A10023610,서울중대초등학교,322
A10028083,서울중대초등학교,286
A13885102,서울송파초등학교,187
A13885301,서울중대초등학교,375
A13885304,서울중대초등학교,329
A13819001,서울석촌초등학교,7
A10021157,서울삼전초등학교,264
A10021256,서울가주초등학교,158
A13816001,서울가동초등학교,205
A13816002,서울신가초등학교,276
A13816101,서울가락초등학교,0
A13816202,서울가동초등학교,88
A13880105,서울신가초등학교,137
A13880201,서울신가초등학교,261
A13880204,서울신가초등학교,25
A13880406,서울신가초등학교,164
A13880407,서울신가초등학교,369
A13880602,서울평화초등학교,173
A13880603,서울평화초등학교,62
A13880701,서울가주초등학교,201
A13880806,서울가주초등학교,0
A13881005,서울가동초등학교,8
A13881103,서울개롱초등학교,120
A13895501,서울신가초등학교,399
A13895502,서울신가초등학교,225
A10022030,서울문덕초등학교,165
A10022995,서울문덕초등학교,221
A10024172,서울문덕초등학교,83
A10027346,서울문덕초등학교,376
A13820001,서울문정초등학교,316
A13820004,서울문정초등학교,83
A13820005,서울문덕초등학교,237
A13820006,서울문정초등학교,26
A13820201,서울가원초등학교,3
A13882401,서울문정초등학교,118
A13882402,서울문정초등학교,89
A10023296,서울문현초등학교,352
A10023897,서울위례별초등학교,364
A10026682,서울송례초등학교,62
A10027553,서울위례별초등학교,25
A10027632,서울위례별초등학교,115
A10027744,서울위례별초등학교,182
A10028086,서울위례별초등학교,261
A13821001,서울문현초등학교,10
A13821002,서울문현초등학교,281
A13821003,서울문현초등학교,138
A13821004,서울문현초등학교,223
A13821006,서울문현초등학교,267
A13821007,서울문현초등학교,367
A13876108,서울문현초등학교,111
A13876109,서울문현초등학교,6
A13876110,서울문현초등학교,32
A13876113,서울송례초등학교,39
A13876114,서울송례초등학교,10
A10021457,서울방이초등학교,111
A10026209,서울방이초등학교,123
A13805001,서울방산초등학교,222
A13805002,서울세륜초등학교,5
A13805003,서울방산초등학교,145
A13883601,서울방산초등학교,232
A13883602,서울방산초등학교,151
A10021425,서울오금초등학교,96
A10022649,서울거여초등학교,365
A10023333,서울오금초등학교,143
A10025657,서울거여초등학교,356
A10026249,서울거여초등학교,153
A10026362,서울거여초등학교,36
A10026734,서울오금초등학교,166
A13813002,서울거여초등학교,277
A13813003,서울개롱초등학교,0
A13813004,서울개롱초등학교,315
A13813005,서울개롱초등학교,187
A13813006,서울오금초등학교,111
A13813010,서울오금초등학교,322
A13873701,서울오금초등학교,111
A13886009,서울개롱초등학교,115
A10021407,서울영풍초등학교,296
A10022033,서울영풍초등학교,8
A10023887,서울영풍초등학교,170
A10023922,서울거원초등학교,260
A10024085,서울위례솔초등학교,300
A10024152,서울위례솔초등학교,10
A10024197,서울거원초등학교,95
A10024577,서울위례솔초등학교,26
A10024787,서울마천초등학교,111
A10025284,서울영풍초등학교,6
A13811001,서울거원초등학교,26
A13811202,서울거원초등학교,163
A13811203,서울거원초등학교,10
A13811204,서울거원초등학교,146
A13811205,서울거원초등학교,9
A13811206,서울거원초등학교,186
A13881302,서울영풍초등학교,88
A13881401,서울영풍초등학교,208
A13881601,서울영풍초등학교,253
A13881603,서울영풍초등학교,204
A13812001,서울마천초등학교,197
A13812002,서울마천초등학교,35
A13812003,서울남천초등학교,339
A13812004,서울남천초등학교,19
A10025415,서울고명초등학교,15
A10026002,서울명원초등학교,74
A13407002,서울대명초등학교,326
A13407104,서울고명초등학교,0
A13407201,서울명원초등학교,2
A13407202,서울명원초등학교,259
A13407204,서울명원초등학교,115
A13478601,서울대명초등학교,167
A13478602,서울명원초등학교,338
A13482505,서울명원초등학교,0
A13482603,서울대명초등학교,174
A13482706,서울대명초등학교,12
A13482801,서울명원초등학교,162
A13483002,서울명원초등학교,310
A10024562,서울고덕초등학교,301
A13408003,서울묘곡초등학교,8
A13480401,서울묘곡초등학교,68
A13480403,서울명덕초등학교,0
A10021433,서울대명초등학교,295
A10025010,서울고현초등학교,0
A13409001,서울상일초등학교,356
A13472701,서울강명초등학교,24
A10020988,서울천동초등학교,240
A10020989,서울천동초등학교,178
A10022001,서울천동초등학교,122
A10024972,서울신명초등학교,97
A13470101,서울신명초등학교,62
A13470102,서울천동초등학교,387
A13470103,서울길동초등학교,138
A13480803,서울길동초등학교,179
A13481001,서울신명초등학교,394
A13481305,서울길동초등학교,7
A13488104,서울길동초등학교,237
A10021705,서울선린초등학교,132
A13406002,서울선린초등학교,330
A13406003,서울한산초등학교,45
A13406007,서울선린초등학교,361
A13406201,서울한산초등학교,23
A13406204,서울한산초등학교,11
A13406205,서울한산초등학교,14
A13470502,서울한산초등학교,80
A13470503,서울선린초등학교,395
A13470504,서울선린초등학교,131
A13481802,서울선린초등학교,57
A10021259,서울선사초등학교,151
A10025174,서울신암초등학교,9
A13405002,서울선사초등학교,110
A13405003,서울명일초등학교,18
A13405201,서울선사초등학교,254
A13471501,서울선사초등학교,201
A13485302,서울명덕초등학교,31
A13485401,서울명일초등학교,95
A13403002,서울성내초등학교,57
A13403101,서울성내초등학교,246
A13484201,서울성일초등학교,375
A13484501,서울성일초등학교,291
A10020603,서울천동초등학교,364
A10024134,서울강동초등학교,179
A10026195,서울신암초등학교,185
A13402005,서울천동초등학교,20
A13402103,서울천호초등학교,118
A13402202,서울신암초등학교,382
A13402204,서울신암초등학교,14
A13402305,서울천동초등학교,293
A13472201,서울천동초등학교,293
A13486401,서울천동초등학교,366
A13486504,서울천일초등학교,19
A13486601,서울천일초등학교,136
A13486701,서울강동초등학교,186
A13486703,서울강동초등학교,240
A13486705,서울강동초등학교,46
A10024421,서울강빛초등학교,304
A10024422,서울강빛초등학교,251
A10024440,서울강빛초등학교,367
A10024468,서울강빛초등학교,30
A10027638,서울강솔초등학교,0
A13410001,서울강일초등학교,363
A13410002,서울강솔초등학교,157
A13410003,서울강일초등학교,309
