kaptCode,kaptName,codeMgr,kaptMgrCnt,kaptCcompany,codeSec,kaptdScnt,kaptdSecCom,codeClean,kaptdClcnt,codeGarbage,codeDisinf,kaptdDcnt,disposalType,codeStr,kaptdEcapa,codeEcon,codeEmgr,codeFalarm,codeWsupply,codeElev,kaptdEcnt,kaptdPcnt,kaptdPcntu,codeNet,kaptdCccnt,welfareFacility,kaptdWtimebus,subwayLine,subwayStation,kaptdWtimesub,convenientFacility,educationFacility,groundElChargerCnt,undergroundElChargerCnt,useYn
A10021121,모란아파트,자치관리,,,,,,,,,,,,,,,,,,,0,,,,,,5~10분이내,,,,,,0,0,Y
A10021375,대림2차아파트,자치관리,1,,자치관리,,,위탁관리,3,차량수거방식,관리방식미정,,,철골철근콘크리트구조,1000,종합계약,선정안함,기타,수도직결식,,0,100,0,무,9,"관리사무소, 노인정, 어린이놀이터",10~15분이내,,,,"관공서(우체국,수곡1동 주민센터) 병원(충북대학교 병원) 공원(잠두봉 공원 )",초등학교(한솔초등학교) 중학교(수곡중학교) 고등학교() 대학교(청주 교육대학교),0,0,Y
A10024339,더샵청주퍼스트파크아파트,위탁관리,9,(주)백운에프엠,위탁관리,4,(주)에스원,위탁관리,12,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,6450,단일계약,상주선임,R형,부스타방식,위탁관리,29,0,1457,유,436,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",5분이내,,,,관공서() 병원() 공원(),초등학교() 중학교(),0,35,Y
A36115001,수곡선광한빛아파트,위탁관리,3,부건피앤피주식회사,자치관리(직영),1,,자치관리(직영),1,음식물쓰레기종량제,위탁관리,4,"도포식,분무식",철근콘크리트구조,680,단일계약,위탁선임,P형,고가수조식,위탁관리,4,77,197,무,19,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,관공서(수곡1동 주민자치센터) 대형상가(E마-트) 공원(잠두봉),초등학교(한솔초) 중학교(남중) 고등학교(충북고) 대학교(청주교대),0,6,Y
A36115002,산남주공3단지,위탁관리,9,부건피앤피주식회사,,,,자치관리(직영),2,차량수거방식,위탁관리,4,분무식,철근콘크리트구조,835,단일계약,위탁선임,P형,부스타방식,위탁관리,4,314,0,무,25,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",5~10분이내,,,,관공서(수곡1동 주민자치센터) 병원(정동호치과) 대형상가(E마-트) 공원(잠두봉),초등학교(한솔초) 중학교(남중) 고등학교(충북고) 대학교(청주교대),7,0,Y
A36115003,산남주공4단지,위탁관리,8,거창유지관리,위탁관리,8,더빌코리아,위탁관리,9,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,1900,단일계약,상주선임,P형,부스타방식,위탁관리,23,680,0,무,85,"관리사무소, 노인정, 보육시설, 어린이놀이터, 유치원, 자전거보관소",5~10분이내,인천1호선,,,관공서(수곡1동 주민자치센터) 병원(정동호치과) 대형상가(E마-트) 공원(잠두봉),초등학교(수곡) 중학교(남중) 고등학교(충북고) 대학교(청주교대),14,0,Y
A36115004,산남주공1단지아파트,위탁관리,6,(주)백운에프엠,위탁관리(직영+위탁),4,(주)백운에프엠,위탁관리,4,음식물쓰레기종량제,위탁관리,4,분무식,철근콘크리트구조,152,단일계약,위탁선임,기타,부스타방식,,0,640,0,무,9,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,"관공서(수곡1동 주민자치센터) 병원(소망가정의학과의원, 수곡신경외과의원) 대형상가(E-마트, 다올할인마트) 공원(매봉공원)","초등학교(한솔초) 중학교(청주남중, 수곡중) 고등학교(충북고) 대학교(청주교육대)",13,0,Y
A36178708,청주산남2-1,위탁관리,9,주택관리공단(주),위탁관리,4,(합)지엔지,위탁관리,5,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,2750,단일계약,상주선임,R형,부스타방식,위탁관리,17,297,38,무,87,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",5분이내,,,,관공서(수곡2동 주민자치센터) 병원(우인의원) 대형상가(E마-트) 공원(잠두봉),초등학교(한솔) 중학교(남중) 고등학교(충북고) 대학교(청주교대),0,0,Y
A36178709,청주산남주공2-2,위탁관리,6,주택관리공단(주),위탁관리,4,합자회사 지엔지,위탁관리,2,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,300,단일계약,상주선임,R형,부스타방식,위탁관리,8,185,0,무,35,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(수곡2동 주민자치센터) 병원(정동호치과) 대형상가(E마-트) 공원(잠두봉),초등학교(수곡) 중학교(남중) 고등학교(충북고) 대학교(청주교대),0,0,Y
A36179101,세원홍실아파트,위탁관리,4,거창유지관리(주),위탁관리,2,거창유지관리(주),위탁관리,2,차량수거방식,위탁관리,3,분무식,철근콘크리트구조,1000,단일계약,위탁선임,P형,고가수조식,위탁관리,8,177,110,무,44,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",5~10분이내,,,,관공서(수곡1동 주민자치센터) 병원(하늘소한의원) 대형상가(E마-트) 공원(잠두봉),초등학교(수곡) 중학교(수곡) 고등학교(충북) 대학교(청주교대),9,6,Y
